Company,Title,Description,Salary,Contract Type,Location,Date de publication
Ginger Deleo,Chef de projets économie circulaire matériaux de réemploi et des déchets F/H,"Venez rejoindre un métier mixant la conception technique et le suivi de travaux, aux enjeux environnementaux forts. Rejoindre Ginger DELEO c'est rejoindre une entreprise spécialisée en pleine croissance, offrant une ambiance de travail agréable et conviviale et des missions...",N/A,CDI,Avon - 77,18/10/2023
Fed Finance d'Entreprise,Comptable Clients F/H,"Je suis Pierre Caumeil, consultant au cabinet de recrutement Fed Finance et je recherche pour mon client spécialiste et créateur de spiritueux haut de gamme, un comptable clients (F/H) en CDI. le poste est à pouvoir à Clichy.   Rattaché(e) au Chef Comptable, au sein d'une équipe...",N/A,CDI,Clichy - 92,18/10/2023
Pay Job,Gestionnaire de paie & ADP F/H,"Payjob, cabinet de recrutement dédié aux métiers de la paie depuis plus de 12 ans, accompagne ses clients et candidats avec réactivité et transparence.  Notre force Notre compréhension du secteur de la paie et de ses spécificités métiers nous permet d'accompagner nos talents à...",N/A,Mission d'intérim,Paris 12 - 75,18/10/2023
(Confidentielle),Coordinateur/trice pédagogique DU PaRéO F/H,"Le/ la coordinateur/trice pédagogique assurera le bon déroulement des enseignements, l'animation d'ateliers et la mise en œuvre des projets pédagogiques tout en assurant le suivi individualisé des étudiants.     Gestion pédagogique et administrative : .  Gestion des candidatures...",N/A,CDD,Paris - 75,18/10/2023
ORANGE BUSINESS,Product Designer F/H,"Et si tu rejoignais une équipe pluridisciplinaire de 26 personnes (UX designer, UI designer, Product designer, Motion designer, Product Owner, Chef de projet et Développeur XR) pour développer notre approche user centric et faire rayonner l'équipe   Tu rejoins l'équipe Paris de...",N/A,CDI,Nanterre - 92,18/10/2023
Ginger Deleo,Ingénieur / Chef de projets en ingénierie des matériaux - F/H,"Située à Avon (77), notre agence recherche un Ingénieur / Chef de projets en ingénierie des matériaux (H/F) pour compléter notre équipe spécialisée en maîtrise d'oeuvre des travaux de déconstruction et désamiantage.   Votre mission portera en particulier sur la faisabilité de...",N/A,CDI,Avon - 77,18/10/2023
BEHIVE,Chef de projet IT - client final F/H,"Client  Notre client, spécialisé dans les risques, recherche un Chef de projet IT (F/H) à Courbevoie.     Contexte :   Notre client s’est lancé dans un projet de refonte de son SI ; cette refonte passe, entre autres, par la mise de nouvelles normes technologies ainsi que la mise...",N/A,CDI,Courbevoie - 92,18/10/2023
Coexya,Concepteur éditique F/H,Poste : Concepteur éditique F/H Contrat : CDI Lieu : Paris Salaire : 35/48KEUR Contexte La division CMP de Coexya accompagne ses clients au travers de missions d'assistance à maitrise d'oeuvre ou d'ouvrage dans le cadre de l'intégration de SI.?  Elle propose également une forte...,N/A,CDI,Paris 12 - 75,18/10/2023
BRIKS,Energie Manager F/H,"Cette entreprise fer de lance de l'innovation CVC souhaite relever le défi environnemental en participant à la décarbonation du chauffage et de la climatisation des bâtiments, qui représentent 10% des émissions mondiales de CO2.  Nous recherchons actuellement un Energy Manager...",N/A,CDI,Vincennes - 94,18/10/2023
UPTOO,Technico-Commercial - Industrie F/H,"Rattaché.e au Responsable Customer Service Center, vous rejoignez une équipe dune douzaine de personnes.   Votre responsabilité : assurer linterface technique et commerciale des affaires selon les impératifs de délais, coûts et qualité.  Vous participez à la revue des contrats...",N/A,CDI,Gennevilliers - 92,18/10/2023
